Sl. No.,Output
1,151
2,75
3,141
4,206
5,135
6,97
7,138
8,63
9,110
10,310
11,101
12,69
13,179
14,185
15,118
16,171
17,166
18,144
19,97
20,168
21,68
22,49
23,68
24,245
25,184
26,202
27,137
28,85
29,131
30,283
31,129
32,59
33,341
34,87
35,65
36,102
37,265
38,276
39,252
40,90
41,100
42,55
43,61
44,92
45,259
46,53
47,190
48,142
49,75
50,142
51,155
52,225
53,59
54,104
55,182
56,128
57,52
58,37
59,170
60,170
61,61
62,144
63,52
64,128
65,71
66,163
67,150
68,97
69,160
70,178
71,48
72,270
73,202
74,111
75,85
76,42
77,170
78,200
79,252
80,113
81,143
82,51
83,52
84,210
85,65
86,141
87,55
88,134
89,42
90,111
91,98
92,164
93,48
94,96
95,90
96,162
97,150
98,279
99,92
100,83
101,128
102,102
103,302
104,198
105,95
106,53
107,134
108,144
109,232
110,81
111,104
112,59
113,246
114,297
115,258
116,229
117,275
118,281
119,179
120,200
121,200
122,173
123,180
124,84
125,121
126,161
127,99
128,109
129,115
130,268
131,274
132,158
133,107
134,83
135,103
136,272
137,85
138,280
139,336
140,281
141,118
142,317
143,235
144,60
145,174
146,259
147,178
148,128
149,96
150,126
151,288
152,88
153,292
154,71
155,197
156,186
157,25
158,84
159,96
160,195
161,53
162,217
163,172
164,131
165,214
166,59
167,70
168,220
169,268
170,152
171,47
172,74
173,295
174,101
175,151
176,127
177,237
178,225
179,81
180,151
181,107
182,64
183,138
184,185
185,265
186,101
187,137
188,143
189,141
190,79
191,292
192,178
193,91
194,116
195,86
196,122
197,72
198,129
199,142
200,90
201,158
202,39
203,196
204,222
205,277
206,99
207,196
208,202
209,155
210,77
211,191
212,70
213,73
214,49
215,65
216,263
217,248
218,296
219,214
220,185
221,78
222,93
223,252
224,150
225,77
226,208
227,77
228,108
229,160
230,53
231,220
232,154
233,259
234,90
235,246
236,124
237,67
238,72
239,257
240,262
241,275
242,177
